name;chrom;strand;txStart;txEnd;exonCount;name2;Length;Name3
NR_023387;chr16;-;14916288;14918559;2;ABCC6P2;2271;ABCC6P2
NM_000352;chr11;-;17414431;17498392;39;ABCC8;83961;ABCC8
NM_020297;chr12;-;21950323;22089628;38;ABCC9;139305;ABCC9
NM_000033;chrX;+;152990322;153010216;10;ABCD1;19894;ABCD1
NM_005164;chr12;-;39945021;40013843;10;ABCD2;68822;ABCD2
NM_002858;chr1;+;94883932;94984219;23;ABCD3;100287;ABCD3
NR_003256;chr14;-;74751979;74769767;18;ABCD4;17788;ABCD4
NM_002940;chr4;+;146019155;146050676;18;ABCE1;31521;ABCE1
NM_001090;chr6;+;30539169;30559309;24;ABCF1;20140;ABCF1
NM_005692;chr7;-;150904922;150924460;16;ABCF2;19538;ABCF2
NM_018358;chr3;+;183903862;183911795;21;ABCF3;7933;ABCF3
NM_207627;chr21;+;43619798;43717354;16;ABCG1;97556;ABCG1
NM_001257386;chr4;-;89011415;89152474;16;ABCG2;141059;ABCG2
NM_022169;chr11;+;119019749;119033374;15;ABCG4;13625;ABCG4
NM_022436;chr2;-;44039610;44065958;13;ABCG5;26348;ABCG5
NM_022437;chr2;+;44066102;44105605;13;ABCG8;39503;ABCG8
NM_032604;chr2;+;27346656;27353680;9;ABHD1;7024;ABHD1
NR_073570;chr3;+;111697722;111712215;4;ABHD10;14493;ABHD10
NR_026912;chr7;-;73150426;73153190;5;ABHD11;2764;ABHD11
NM_015600;chr20;-;25275378;25371618;13;ABHD12;96240;ABHD12
NM_181814;chr14;+;51338877;51371688;11;ABHD12B;32811;ABHD12B
NM_032859;chr13;+;108870762;108886603;2;ABHD13;15841;ABHD13
NM_015407;chr3;+;52009041;52015216;5;ABHD14A;6175;ABHD14A
NR_037192;chr3;+;52009041;52023218;17;ABHD14A-ACY1;14177;ABHD14A-ACY1
NM_032750;chr3;-;52002525;52008646;4;ABHD14B;6121;ABHD14B
NM_198147;chr17;-;27887688;27894042;2;ABHD15;6354;ABHD15
NM_021160;chr6_ssto_hap7;-;2985531;3001955;20;ABHD16A;16424;ABHD16A
NM_080622;chr20;+;62492565;62494341;1;ABHD16B;1776;ABHD16B
NM_031213;chr19;-;1876974;1885518;6;ABHD17A;8544;ABHD17A
NM_016014;chr9;-;74477367;74526148;5;ABHD17B;48781;ABHD17B
NM_021214;chr15;+;80987651;81047962;3;ABHD17C;60311;ABHD17C
NM_152924;chr15;+;89631380;89745591;11;ABHD2;114211;ABHD2
NM_138340;chr18;-;19230857;19284766;9;ABHD3;53909;ABHD3
NM_022060;chr14;+;23067146;23081265;7;ABHD4;14119;ABHD4
NM_016006;chr3;+;43732374;43764217;7;ABHD5;31843;ABHD5
NM_020676;chr3;+;58223258;58280461;9;ABHD6;57203;ABHD6
NM_024527;chr19;-;17402939;17414282;5;ABHD8;11343;ABHD8
NM_001178116;chr10;-;27035524;27150016;12;ABI1;114492;ABI1
NM_005759;chr2;+;204192961;204296896;10;ABI2;103935;ABI2
NM_016428;chr17;+;47287588;47300587;8;ABI3;12999;ABI3
NM_015429;chr3;-;100468178;100712334;35;ABI3BP;244156;ABI3BP
NM_007313;chr9;+;133589267;133763062;11;ABL1;173795;ABL1
NM_001168238;chr1;-;179068461;179198819;12;ABL2;130358;ABL2
NM_001003408;chr10;-;116190868;116444414;23;ABLIM1;253546;ABLIM1
NM_032432;chr4;-;7967036;8160559;16;ABLIM2;193523;ABLIM2
NM_014945;chr5;+;148521053;148639999;24;ABLIM3;118946;ABLIM3
NM_020469;chr9;-;136130562;136150630;7;ABO;20068;ABO
NM_001159746;chr17;-;906757;1090616;23;ABR;183859;ABR
NM_139166;chr8;-;107771710;107782472;2;ABRA;10762;ABRA
NM_021243;chr6;+;139349818;139364439;3;ABRACL;14621;ABRACL
NM_013375;chr6;+;26597170;26600277;3;ABT1;3107;ABT1
NR_033429;chr3;+;127391780;127399769;12;ABTB1;7989;ABTB1
NM_145804;chr11;-;34172533;34379555;17;ABTB2;207022;ABTB2
NR_110195;chr7;+;126855180;126869975;2;AC000099.1;14795;AC000099.1
NR_110024;chr7;+;127116936;127125858;4;AC000124.1;8922;AC000124.1
NR_110750;chr19;+;36088796;36092403;3;AC002115.5;3607;AC002115.5
NR_104176;chr19;-;36279777;36288811;8;AC002398.5;9034;AC002398.5
NR_110088;chr7;+;92465796;92546501;2;AC002454.1;80705;AC002454.1
NR_110158;chr7;+;112262435;112348122;8;AC002463.3;85687;AC002463.3
NR_038393;chr7;+;22602955;22613617;4;AC002480.3;10662;AC002480.3
NR_040046;chr19;+;35896508;35907742;5;AC002511.1;11234;AC002511.1
NR_109971;chr17;+;67590127;67899141;6;AC003051.1;309014;AC003051.1
NR_110802;chr17;-;42376941;42385799;4;AC003102.3;8858;AC003102.3
NR_103857;chr17;-;45975751;46018770;3;AC003665.1;43019;AC003665.1
NR_040111;chr17;+;39558667;39568840;3;AC003958.2;10173;AC003958.2
NR_110080;chr7;+;84161791;84213634;4;AC003984.1;51843;AC003984.1
NR_110874;chr17;+;67957847;67979685;5;AC004562.1;21838;AC004562.1
NR_036584;chr19;+;43326014;43331030;4;AC004603.4;5016;AC004603.4
NR_110075;chr7;-;80000832;80003755;4;AC004862.6;2923;AC004862.6
NR_110102;chr7;+;98610787;98634102;6;AC004893.11;23315;AC004893.11
NR_110832;chr7;+;41141201;41173099;6;AC005022.1;31898;AC005022.1
NR_110831;chr7;-;41004276;41019537;3;AC005029.1;15261;AC005029.1
NR_110114;chr7;-;19958603;20180049;6;AC005062.2;221446;AC005062.2
NR_110876;chr17;-;70017991;70022120;3;AC005152.3;4129;AC005152.3
NR_110267;chr2;-;199164086;199239821;3;AC005235.1;75735;AC005235.1
NR_110670;chr19;-;3141573;3155173;4;AC005264.2;13600;AC005264.2
NR_110901;chr16;-;4374648;4378341;4;AC005356.1;3693;AC005356.1
NR_104605;chr17;-;12575178;12609452;3;AC005358.3;34274;AC005358.3
NR_110094;chr7;+;15728002;15736517;2;AC005550.4;8515;AC005550.4
NR_110558;chr5;+;142125164;142140558;4;AC005592.1;15394;AC005592.1
NM_001242901;chr19;+;4679293;4685960;3;AC005594.3;6667;AC005594.3
NR_110829;chr7;-;146778029;146794701;4;AC006004.1;16672;AC006004.1
NR_110744;chr19;+;57276689;57311014;4;AC006115.3;34325;AC006115.3
NR_110724;chr19;+;42041859;42043266;3;AC006129.4;1407;AC006129.4
NR_110077;chr7;+;81638492;81659271;4;AC006145.4;20779;AC006145.4
NR_110223;chr2;+;195595318;195626159;4;AC006196.1;30841;AC006196.1
NR_110157;chr7;+;157258924;157292410;4;AC006372.4;33486;AC006372.4
NR_110291;chr2;+;210894645;210929080;5;AC007038.7;34435;AC007038.7
NR_110274;chr2;-;71169142;71175741;2;AC007040.7;6599;AC007040.7
NR_110281;chr2;+;75751193;75769832;3;AC007099.1;18639;AC007099.1
NR_110219;chr2;+;59444842;59506535;3;AC007131.1;61693;AC007131.1
NR_037886;chr2;-;201577027;201599900;3;AC007163.3;22873;AC007163.3
NR_110275;chr2;-;201645217;201676893;4;AC007163.6;31676;AC007163.6
NR_110552;chr14;-;76041246;76045931;3;AC007182.6;4685;AC007182.6
NR_037875;chr2;+;39664556;39828484;6;AC007246.3;163928;AC007246.3
NR_110597;chr2;+;10589853;10595678;5;AC007249.3;5825;AC007249.3
NR_110413;chrY;-;24247838;24293631;13;AC007359.6;45793;AC007359.6
NR_034023;chr2;+;64834445;64843616;4;AC007365.1;9171;AC007365.1
NR_036586;chr2;-;65128973;65159581;3;AC007386.2;30608;AC007386.2
NR_110156;chr2;+;66801161;66922720;6;AC007392.3;121559;AC007392.3
NR_110265;chr2;-;66924161;66930359;3;AC007392.4;6198;AC007392.4
NR_110600;chr2;-;67148642;67149622;3;AC007403.1;980;AC007403.1
NR_110169;chr2;+;67131567;67198598;5;AC007403.2;67031;AC007403.2
NR_110568;chr2;+;67440539;67471706;4;AC007403.3;31167;AC007403.3
NR_110185;chr2;-;171556877;171627276;6;AC007405.4;70399;AC007405.4
NR_110827;chr17;+;70068473;70089622;6;AC007461.2;21149;AC007461.2
NR_110256;chr2;-;8026897;8039786;6;AC007463.2;12889;AC007463.2
NR_110258;chr2;+;163625445;163654482;5;AC007740.1;29037;AC007740.1
NR_110255;chr2;+;162970950;163029243;4;AC007750.5;58293;AC007750.5
NR_046201;chr19;-;32880955;32896445;3;AC007773.2;15490;AC007773.2
NR_110283;chr2;-;208051413;208119040;4;AC007879.2;67627;AC007879.2
NR_110224;chr2;-;65073263;65090765;5;AC007880.1;17502;AC007880.1
NR_110217;chr2;-;186584600;186605204;3;AC007966.1;20604;AC007966.1
NR_110605;chr2;+;211189435;211335057;6;AC007970.1;145622;AC007970.1
NR_037889;chr5;+;158758525;158789842;5;AC008697.1;31317;AC008697.1
NR_027110;chr5;-;158875563;158893284;7;AC008703.1;17721;AC008703.1
NR_104657;chr16;-;74226290;74249420;4;AC009120.4;23130;AC009120.4
NM_001256368;chr2;-;155292364;155313950;5;AC009227.2;21586;AC009227.2
NR_046103;chr7;-;136583519;136849088;4;AC009264.1;265569;AC009264.1
NR_110593;chr2;-;162079768;162111154;4;AC009299.2;31386;AC009299.2
NR_110164;chr2;+;162101249;162105561;2;AC009299.3;4312;AC009299.3
NR_110018;chr7;-;7989469;8008383;5;AC009473.1;18914;AC009473.1
NR_033389;chr2;-;63271099;63275656;4;AC009501.4;4557;AC009501.4
NR_110836;chr7;+;131594978;131633712;6;AC009518.4;38734;AC009518.4
NR_110204;chr2;+;179278385;179304970;5;AC009948.5;26585;AC009948.5
NR_110570;chr2;+;145279434;145337001;3;AC010090.1;57567;AC010090.1
NR_110260;chr2;+;166938040;167158293;12;AC010127.3;220253;AC010127.3
NR_109875;chr5;+;114937851;114956116;3;AC010226.4;18265;AC010226.4
NR_110729;chr19;-;49871961;49891338;3;AC010524.2;19377;AC010524.2
NM_001102659;chr2;+;207507141;207514173;3;AC010731.4;7032;AC010731.4
NR_110603;chr2;-;105552698;105654954;3;AC010884.1;102256;AC010884.1
NR_110294;chr2;+;134023766;134042330;5;AC010890.1;18564;AC010890.1
NR_110289;chr2;-;79720841;79727970;5;AC010975.1;7129;AC010975.1
NR_110271;chr2;-;68023185;68052694;3;AC010987.6;29509;AC010987.6
NR_109891;chr5;-;159203781;159298391;3;AC011343.1;94610;AC011343.1
NR_110694;chr19;-;32592997;32596822;4;AC011518.1;3825;AC011518.1
NR_110739;chr3;-;405055;427478;3;AC011609.3;22423;AC011609.3
NR_038276;chr7;-;43548326;43562141;3;AC011738.4;13815;AC011738.4
NR_110257;chr2;-;8699962;8723922;6;AC011747.4;23960;AC011747.4
NR_110154;chr2;-;8811113;8821993;4;AC011747.7;10880;AC011747.7
NR_038966;chr7;+;157647276;157658782;4;AC011899.9;11506;AC011899.9
NR_110161;chr2;-;81688482;81694070;3;AC012075.2;5588;AC012075.2
NR_110719;chr19;+;37742786;37756437;3;AC012309.5;13651;AC012309.5
NR_110607;chr2;+;216318429;216328591;4;AC012462.2;10162;AC012462.2
NR_110287;chr2;+;78315855;78354932;6;AC012494.1;39077;AC012494.1
NR_038238;chr2;+;231751260;231769232;4;AC012507.3;17972;AC012507.3
NR_110576;chr2;-;171197026;171207453;4;AC012594.1;10427;AC012594.1
NR_110839;chr17;-;15709555;15721056;3;AC015922.6;11501;AC015922.6
NR_040015;chr19;-;38314362;38345836;6;AC016582.2;31474;AC016582.2
NR_027334;chr19;+;59070552;59086164;6;AC016629.8;15612;AC016629.8
NR_110585;chr2;-;43254991;43266682;6;AC016735.2;11691;AC016735.2
NR_110213;chr2;-;101589109;101593623;3;AC016738.3;4514;AC016738.3
NR_110237;chr2;+;144694633;144721722;3;AC016910.1;27089;AC016910.1
NR_110259;chr2;-;38685779;38742882;5;AC016995.3;57103;AC016995.3
NR_110599;chr2;+;177502481;177520686;4;AC017048.4;18205;AC017048.4
NR_110013;chr7;-;17503068;17598533;4;AC017060.1;95465;AC017060.1
NR_110162;chr7;-;112594689;112635698;6;AC018464.3;41009;AC018464.3
NR_038897;chr2;+;175190754;175195370;3;AC018470.4;4616;AC018470.4
NR_108083;chr7;+;35756046;35759322;2;AC018647.3;3276;AC018647.3
NR_033845;chr7;+;50599456;50611161;5;AC018705.5;11705;AC018705.5
NR_038837;chr2;-;21910305;21933524;3;AC018742.1;23219;AC018742.1
NR_110730;chr19;-;50359721;50362546;5;AC018766.5;2825;AC018766.5
NR_110222;chr2;+;195208992;195284355;6;AC018799.1;75363;AC018799.1
NR_110252;chr2;-;7202857;7218011;3;AC019048.1;15154;AC019048.1
NR_110014;chr7;+;17414540;17506880;4;AC019117.1;92340;AC019117.1
NR_110228;chr2;-;2898819;3129798;7;AC019118.2;230979;AC019118.2
NR_110574;chr2;+;165697258;165705906;2;AC019181.2;8648;AC019181.2
NR_110226;chr2;+;197124747;197128928;3;AC020571.3;4181;AC020571.3
NM_001008737;chr3;-;10048101;10052779;4;AC022007.5;4678;AC022007.5
NM_001243523;chr7;+;137638093;137642712;4;AC022173.2;4619;AC022173.2
NR_034134;chr2;-;4675807;4703812;5;AC022311.1;28005;AC022311.1
NR_110740;chr19;+;5847477;5858250;4;AC024592.9;10773;AC024592.9
NR_110833;chr7;-;42701325;42746046;3;AC027269.2;44721;AC027269.2
NR_110104;chr15;+;91565851;91574369;4;AC068831.10;8518;AC068831.10
NR_026681;chr11;+;44995452;44999578;4;AC068858.1;4126;AC068858.1
NR_110123;chr3;-;6674044;6847136;4;AC069277.1;173092;AC069277.1
NR_110292;chr2;+;215674952;215828329;4;AC072062.1;153377;AC072062.1
NR_110238;chr2;-;219765536;219795359;5;AC073128.10;29823;AC073128.10
NR_038232;chr7;-;156230482;156238282;3;AC073133.1;7800;AC073133.1
NR_110208;chr2;-;47419543;47572213;5;AC073283.4;152670;AC073283.4
NR_110392;chr2;-;217454715;217471661;4;AC073321.3;16946;AC073321.3
NR_110286;chr2;+;78143059;78145134;3;AC073628.1;2075;AC073628.1
NR_110707;chr19;-;37176340;37178351;3;AC074138.3;2011;AC074138.3
NR_026966;chr2;-;178148235;178257419;9;AC074286.1;109184;AC074286.1
NR_038844;chr2;-;67350488;67442451;8;AC078941.1;91963;AC078941.1
NR_110284;chr2;+;77213090;77236914;4;AC079117.1;23824;AC079117.1
NR_110235;chr2;+;20189964;20204567;3;AC079145.4;14603;AC079145.4
NM_001242575;chr2;-;214141276;214148929;3;AC079610.2;7653;AC079610.2
NR_110285;chr2;+;130680749;130704276;4;AC079776.3;23527;AC079776.3
NR_110584;chr2;-;42369574;42397371;4;AC083949.1;27797;AC083949.1
NR_109770;chr8;+;145660550;145665276;6;AC084125.4;4726;AC084125.4
NR_110131;chr3;-;7994491;8057994;4;AC087859.1;63503;AC087859.1
NR_110118;chr3;+;633787;887698;4;AC090044.1;253911;AC090044.1
NR_037891;chr3;+;194429149;194502897;4;AC090505.6;73748;AC090505.6
NR_110067;chr7;+;1200009;1205594;4;AC091729.9;5585;AC091729.9
NR_104634;chr12;-;10089177;10096094;5;AC091814.2;6917;AC091814.2
NR_027253;chr5;-;17130136;17217531;3;AC091878.1;87395;AC091878.1
NR_109877;chr5;-;151998524;152351909;5;AC091969.1;353385;AC091969.1
NR_110703;chr19;+;37063971;37085618;4;AC092295.7;21647;AC092295.7
NR_110250;chr2;-;156877046;157111432;4;AC093375.1;234386;AC093375.1
NR_110199;chr2;+;136742745;136765112;4;AC093391.2;22367;AC093391.2
NR_110270;chr2;+;200472790;200523855;7;AC093590.1;51065;AC093590.1
NR_108065;chr7;+;149717;155461;2;AC093627.10;5744;AC093627.10
NR_110592;chr2;+;242912833;242919427;6;AC093642.3;6594;AC093642.3
NR_038319;chr2;-;28530557;28533326;3;AC093690.1;2769;AC093690.1
NR_108090;chr7;+;47661536;47669491;4;AC095067.1;7955;AC095067.1
NR_110196;chr2;+;12147241;12718474;6;AC096559.1;571233;AC096559.1
NR_110577;chr2;+;22759350;22761159;3;AC096570.1;1809;AC096570.1
NR_046086;chr2;+;219866936;219880444;3;AC097468.4;13508;AC097468.4
NR_110218;chr2;-;186898260;186951044;6;AC097500.2;52784;AC097500.2
NR_102371;chr2;-;228085767;228189880;14;AC097662.2;104113;AC097662.2
NR_040038;chr2;-;231555635;231565244;4;AC098823.3;9609;AC098823.3
NR_110117;chr7;+;20336330;20351335;5;AC099342.1;15005;AC099342.1
NR_110236;chr2;+;88838237;88875128;3;AC104134.2;36891;AC104134.2
NR_110174;chr2;-;114588759;114648569;5;AC104653.1;59810;AC104653.1
NR_033996;chr2;+;42104694;42121186;3;AC104654.1;16492;AC104654.1
NR_110263;chr2;-;42158738;42160863;3;AC104654.2;2125;AC104654.2
NR_110227;chr2;-;105713509;105719402;4;AC104655.2;5893;AC104655.2
NR_110241;chr2;-;151409045;151428735;6;AC104777.2;19690;AC104777.2
NR_110247;chr2;+;151485410;151491871;4;AC104777.4;6461;AC104777.4
NR_038888;chr2;+;86042252;86053911;3;AC105053.3;11659;AC105053.3
NR_110251;chr2;-;6506141;6515554;3;AC105253.1;9413;AC105253.1
NR_034139;chr15;-;83379222;83382745;4;AC105339.1;3523;AC105339.1
NR_037881;chr2;-;4005244;4021622;3;AC107070.1;16378;AC107070.1
NR_110814;chr3;+;20383959;20392420;5;AC107622.1;8461;AC107622.1
NR_110580;chr2;-;5774272;5831250;5;AC108025.2;56978;AC108025.2
NR_038427;chr2;+;27558408;27560670;4;AC109828.1;2262;AC109828.1
NR_110179;chr2;-;895901;901137;4;AC113607.2;5236;AC113607.2
NR_040020;chr17;+;71782960;71796934;7;AC125421.1;13974;AC125421.1
NM_001242885;chr16;+;89387540;89391518;3;AC137932.6;3978;AC137932.6
NR_110240;chr2;+;150443871;150704748;3;AC144449.1;260877;AC144449.1
NR_110054;chr7;+;642481;648139;2;AC147651.4;5658;AC147651.4
NR_103732;chr2;+;97944453;97957632;4;AC159540.1;13179;AC159540.1
NR_033960;chr7;+;419390;422845;3;AC226118.1;3455;AC226118.1
NM_001130410;chr3;-;38164200;38178733;10;ACAA1;14533;ACAA1
NM_006111;chr18;-;47309873;47340251;10;ACAA2;30378;ACAA2
NM_198834;chr17;-;35441926;35766902;56;ACACA;324976;ACACA
NM_001093;chr12;+;109577201;109706030;52;ACACB;128829;ACACB
NM_025247;chr12;+;112123856;112194911;21;ACAD10;71055;ACAD10
NM_032169;chr3;-;132276981;132378975;20;ACAD11;101994;ACAD11
NM_014384;chr11;+;134123433;134135746;11;ACAD8;12313;ACAD8
NR_033426;chr3;+;128598332;128631957;18;ACAD9;33625;ACAD9
NM_001608;chr2;-;211052715;211090215;11;ACADL;37500;ACADL
NM_001286044;chr1;+;76190031;76229363;9;ACADM;39332;ACADM
NM_000017;chr12;+;121163570;121177811;10;ACADS;14241;ACADS
NM_001609;chr10;+;124768428;124817806;11;ACADSB;49378;ACADSB
NM_001270447;chr17;+;7120443;7128586;21;ACADVL;8143;ACADVL
NM_013227;chr15;+;89346673;89418585;18;ACAN;71912;ACAN
NM_014716;chr17;+;7239847;7254793;22;ACAP1;14946;ACAP1
NM_012287;chr3;-;194995464;195163817;23;ACAP2;168353;ACAP2
NM_030649;chr1;-;1227763;1243269;24;ACAP3;15506;ACAP3
NM_000019;chr11;+;107992257;108018891;12;ACAT1;26634;ACAT1
NM_005891;chr6;+;160182988;160200087;9;ACAT2;17099;ACAT2
NM_022735;chr1;-;226332379;226374423;8;ACBD3;42044;ACBD3
NM_001135704;chr17;+;43209966;43221543;12;ACBD4;11577;ACBD4
NR_073195;chr10;-;27484142;27531068;12;ACBD5;46926;ACBD5
NM_032360;chr1;-;180257351;180472022;8;ACBD6;214671;ACBD6
NM_001039844;chr10;-;15117473;15130775;4;ACBD7;13302;ACBD7
NM_001127219;chr11;+;44087728;44105569;15;ACCS;17841;ACCS
NM_001031854;chr11;+;44069530;44081527;14;ACCSL;11997;ACCSL
NM_001082486;chr16;-;67691414;67694718;12;ACD;3304;ACD
NM_000789;chr17;+;61554421;61575741;25;ACE;21320;ACE
NM_021804;chrX;-;15579155;15620192;19;ACE2;41037;ACE2
NM_133492;chr19;-;6306509;6333640;6;ACER1;27131;ACER1
NM_001010887;chr9;+;19408924;19452500;6;ACER2;43576;ACER2
NM_018367;chr11;+;76571916;76734850;11;ACER3;162934;ACER3
NM_001282449;chr7;-;100487614;100493592;5;ACHE;5978;ACHE
NM_014977;chr14;-;23527773;23564823;19;ACIN1;37050;ACIN1
NM_001296;chr3;+;42850963;42908775;3;ACKR2;57812;ACKR2
NM_020311;chr2;+;237478379;237490994;2;ACKR3;12615;ACKR3
NM_016557;chr3;+;132316080;132321485;2;ACKR4;5405;ACKR4
NM_001096;chr17;-;40023178;40075272;29;ACLY;52094;ACLY
NM_138326;chr2;+;135596185;135659602;10;ACMSD;63417;ACMSD
NM_020186;chr7;+;96745904;96811075;2;ACN9;65171;ACN9
NM_002197;chr9;+;32384600;32450832;21;ACO1;66232;ACO1
NM_001098;chr22;+;41865128;41924993;18;ACO2;59865;ACO2
NM_001037161;chr14;+;74003927;74010498;3;ACOT1;6571;ACOT1
NM_015547;chr1;+;55013806;55100417;17;ACOT11;86611;ACOT11
NM_130767;chr5;-;80625946;80689988;15;ACOT12;64042;ACOT12
NM_001160094;chr6;+;24667262;24705295;4;ACOT13;38033;ACOT13
NR_046028;chr14;+;74034323;74042362;4;ACOT2;8039;ACOT2
NM_152331;chr14;+;74058409;74062470;3;ACOT4;4061;ACOT4
NM_001037162;chr14;+;74083547;74086592;2;ACOT6;3045;ACOT6
NM_007274;chr1;-;6324331;6453826;9;ACOT7;129495;ACOT7
NM_005469;chr20;-;44470359;44486048;6;ACOT8;15689;ACOT8
NM_001037171;chrX;-;23721776;23761407;16;ACOT9;39631;ACOT9
NM_001185039;chr17;-;73937588;73975515;14;ACOX1;37927;ACOX1
NM_003500;chr3;-;58490862;58522929;15;ACOX2;32067;ACOX2
NM_001101667;chr4;-;8368008;8442452;17;ACOX3;74444;ACOX3
NM_001142807;chr2;+;111490149;111875799;18;ACOXL;385650;ACOXL
NM_007099;chr2;+;264868;278282;6;ACP1;13414;ACP1
NM_001610;chr11;-;47260852;47270457;11;ACP2;9605;ACP2
NM_001111036;chr19;-;11685474;11689801;6;ACP5;4327;ACP5
NM_016361;chr1;-;147119167;147142634;10;ACP6;23467;ACP6
NM_001282728;chr3;+;140950666;141013745;7;ACPL2;63079;ACPL2
